Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,letter
1698241508.055852,8,1698241508,55418014,GPS1_Frame,42.33708133333333,-71.08984566666666,16.3,327836.7712823639,4689318.203717898,19,T
1698241509.05651,9,1698241509,56030035,GPS1_Frame,42.337081500000004,-71.08984566666666,16.2,327836.77173719986,4689318.222224962,19,T
1698241510.0554774,10,1698241510,54975032,GPS1_Frame,42.337081500000004,-71.08984516666666,16.0,327836.8129293433,4689318.22121261,19,T
1698241511.053996,11,1698241511,53558349,GPS1_Frame,42.33708183333333,-71.08984483333333,15.8,327836.84130044235,4689318.257551835,19,T
1698241512.0548933,12,1698241512,54550409,GPS1_Frame,42.337082333333335,-71.08984416666667,15.7,327836.89758780407,4689318.311723226,19,T
1698241513.0614898,13,1698241513,60880422,GPS1_Frame,42.337082833333334,-71.08984366666667,15.6,327836.9401444514,4689318.366232066,19,T
1698241514.053118,14,1698241514,52833318,GPS1_Frame,42.33708133333333,-71.08984366666667,15.4,327836.9360509319,4689318.199668491,19,T
1698241515.0544753,15,1698241515,54046154,GPS1_Frame,42.337074666666666,-71.08984383333333,15.1,327836.9041267983,4689317.459723391,19,T
1698241516.054508,16,1698241516,54146289,GPS1_Frame,42.33706183333334,-71.08983816666667,15.1,327837.3359488987,4689316.023206183,19,T
1698241517.0559227,17,1698241517,55712461,GPS1_Frame,42.33704633333333,-71.089828,14.7,327838.1312233567,4689314.28146489,19,T
1698241518.051606,18,1698241518,51303148,GPS1_Frame,42.33703116666667,-71.08981066666666,14.6,327839.5178290735,4689312.56222767,19,T
1698241519.0587215,19,1698241519,58421611,GPS1_Frame,42.337016999999996,-71.08978766666668,13.9,327841.3740091895,4689310.942560112,19,T
1698241520.0538328,20,1698241520,53409337,GPS1_Frame,42.33700483333334,-71.08976016666666,13.5,327843.60637770616,4689309.535867032,19,T
1698241521.0544302,21,1698241521,54114103,GPS1_Frame,42.336999,-71.08973116666667,13.0,327845.9796064878,4689308.829406213,19,T
1698241522.0535843,22,1698241522,53222894,GPS1_Frame,42.336998166666675,-71.08969716666667,13.0,327848.77840178955,4689308.668035305,19,T
1698241523.0557094,23,1698241523,55240631,GPS1_Frame,42.33700050000001,-71.0896595,12.7,327851.8879143697,4689308.850876462,19,T
1698241524.0532217,24,1698241524,52826642,GPS1_Frame,42.33700916666667,-71.08962016666666,12.7,327855.152015898,4689309.733613257,19,T
